"Rider"	"Rider.No."	"Team"	"Points"	"Stage_no"
"G. BENNETT"	133	"NSN CYCLING TEAM"	1	"stage-3"
"T. WELLENS"	7	"UAE TEAM EMIRATES XRG"	0	"stage-3"
"I. DEL TORO"	2	"UAE TEAM EMIRATES XRG"	30	"stage-2"
"A. MOLENAAR"	224	"CAJA RURAL-SEGUROS RGA"	25	"stage-2"
"T. POGACAR"	1	"UAE TEAM EMIRATES XRG"	25	"stage-2"
"R. EVENEPOEL"	21	"RED BULL - BORA - HANSGROHE"	22	"stage-2"
"F. ENGELHARDT"	114	"TEAM JAYCO ALULA"	20	"stage-2"
"J. VINGEGAARD"	11	"TEAM VISMA | LEASE A BIKE"	19	"stage-2"
"M. SKJELMOSE"	35	"LIDL-TREK"	17	"stage-2"
"F. VAN DEN BROEK"	218	"TEAM PICNIC POSTNL"	16	"stage-2"
"T. JOHANNESSEN"	121	"UNO-X MOBILITY"	15	"stage-2"
"B. GIRMAY"	131	"NSN CYCLING TEAM"	14	"stage-2"
"R. GREGOIRE"	181	"GROUPAMA-FDJ UNITED"	13	"stage-2"
"M. PEDERSEN"	33	"LIDL-TREK"	12	"stage-2"
"L. MARTINEZ"	71	"BAHRAIN VICTORIOUS"	11	"stage-2"
"J. PHILIPSEN"	105	"ALPECIN-PREMIER TECH"	10	"stage-2"
"P. SEIXAS"	51	"DECATHLON CMA CGM TEAM"	9	"stage-2"
"A. TURGIS"	207	"TOTALENERGIES"	9	"stage-2"
"T. MERLIER"	91	"SOUDAL QUICK-STEP"	8	"stage-2"
"T. PIDCOCK"	171	"PINARELLO-Q36.5 PRO CYCLING TEAM"	7	"stage-2"
"M. KANTER"	64	"XDS ASTANA TEAM"	7	"stage-2"
"L. VAN EETVELT"	156	"LOTTO INTERMARCHE"	6	"stage-2"
"M. MATTHEWS"	115	"TEAM JAYCO ALULA"	6	"stage-2"
"J. AYUSO"	31	"LIDL-TREK"	5	"stage-2"
"S. WAERENSKJOLD"	128	"UNO-X MOBILITY"	5	"stage-2"
"I. VAN WILDER"	97	"SOUDAL QUICK-STEP"	4	"stage-2"
"D. BALLERINI"	62	"XDS ASTANA TEAM"	4	"stage-2"
"R. CARAPAZ"	41	"EF EDUCATION - EASYPOST"	3	"stage-2"
"F. VERMEERSCH"	6	"UAE TEAM EMIRATES XRG"	3	"stage-2"
"A. BAUDIN"	43	"EF EDUCATION - EASYPOST"	2	"stage-2"
"J. STUYVEN"	94	"SOUDAL QUICK-STEP"	2	"stage-2"
"T. WELLENS"	7	"UAE TEAM EMIRATES XRG"	1	"stage-2"
